Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 815 variant 162 variant 891 variant 532,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Trans fat variant 660 variant 986,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 869 variant 175 variant 632,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 404 variant 769 variant 370,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Olive oil variant 577 variant 850 variant 515,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Coriander,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 498 variant 502 variant 32,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 524 variant 538,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mannitol variant 786 variant 725,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 32 variant 241 variant 949 variant 826,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mannitol variant 786,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Beta carotene variant 524 variant 790,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Black salt variant 236 variant 128 variant 994,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Disodium inosinate variant 755 variant 480 variant 663,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 44 variant 605 variant 802,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Color Blue 1 variant 877 variant 185,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Lemon juice concentrate variant 381 variant 871,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Clove,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Quinoa variant 499 variant 440,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Oats variant 743 variant 928,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Calcium propionate,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Rice flour variant 969 variant 682,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Garlic variant 46 variant 356,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sunflower oil,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
TBHQ variant 887 variant 425,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Calcium propionate variant 262 variant 201,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Potassium nitrate variant 560 variant 459 variant 523 variant 456 variant 950 variant 908,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 893 variant 705 variant 713 variant 806 variant 96 variant 855,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sesame seeds variant 71 variant 419 variant 616,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fumaric acid variant 544,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Fenugreek variant 200 variant 809 variant 57,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 312 variant 580,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium nitrite variant 437,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Yogurt powder,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ginger extract variant 44 variant 513 variant 12 variant 283 variant 48 variant 361,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Isobutyl acetate,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Aluminium ammonium sulfate variant 597,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Desi ghee variant 961 variant 308,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Hydrogenated oil variant 375 variant 362,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 247,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Trans fat variant 660 variant 545,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 946 variant 73 variant 59,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Monosodium glutamate,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 953,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 318 variant 656,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cocoa powder,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 972 variant 490 variant 786,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Soy lecithin variant 698 variant 837 variant 739,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Bleaching agent,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 946 variant 268,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cinnamon variant 937 variant 692 variant 805 variant 225,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium phosphate variant 45 variant 146 variant 552 variant 153,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 424 variant 936,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Moringa powder variant 606 variant 651,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium nitrite variant 854,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mannitol variant 786 variant 461 variant 220,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Soy protein variant 680,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Thiamine mononitrate variant 267 variant 33,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium tartrate variant 71 variant 978 variant 876,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
"Artificial color (E102, E110) variant 480 variant 430 variant 719 variant 693",Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 593,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
"Artificial color (E102, E110) variant 480 variant 355",Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 45 variant 146 variant 552,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 968,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Dimethylpolysiloxane variant 170 variant 343,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Phosphoric acid variant 975 variant 537,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 313 variant 336 variant 20 variant 204,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 655,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cellulose gum,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
"Artificial color (E102, E110) variant 480 variant 430 variant 719",Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Color Red 40 variant 142 variant 971 variant 283 variant 260 variant 223,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 442 variant 73 variant 790,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
High fructose corn syrup variant 716 variant 970 variant 564,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Phosphoric acid,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Benzoyl peroxide variant 30 variant 303 variant 596,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 713 variant 164 variant 607,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cellulose gum variant 313 variant 273,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 32 variant 378,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propionate preservative variant 302,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cinnamon variant 59 variant 520,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Rice flour variant 969,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sulphur dioxide variant 370 variant 15 variant 659,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 442 variant 911 variant 897 variant 583,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Artificial flavoring variant 63 variant 138,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Isinglass,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Quinoa variant 395 variant 34,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Isomaltooligosaccharides variant 202 variant 783,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Coconut oil variant 743 variant 431,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Guar gum variant 695 variant 366,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 741 variant 294 variant 208 variant 364,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cellulose gum variant 313,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sea salt variant 655 variant 367,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Isobutyl acetate variant 29,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 622 variant 199 variant 216,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Onion powder variant 548 variant 704,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 581 variant 202,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 634 variant 66 variant 346,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 165 variant 744,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
